gene,ensembl_id,tissue_breadth,max_tpm,median_tpm_all
NBDY,ENSG00000204272,54,60.0106,30.83395
ZNFX1,ENSG00000124201,54,35.544,16.1435
FAM3C,ENSG00000196937,54,69.0278,30.4541
DCUN1D4,ENSG00000109184,54,35.1196,16.697699999999998
RNF103,ENSG00000239305,54,82.7467,23.09685
RMND5A,ENSG00000153561,54,129.304,17.06505
DDX27,ENSG00000124228,54,70.1308,36.506249999999994
LIN7C,ENSG00000148943,54,47.5528,12.3788
ZFAS1,ENSG00000177410,54,153.397,42.88915
KDM3A,ENSG00000115548,54,46.6588,18.30325
B4GALT5,ENSG00000158470,54,73.3341,32.35055
RP11-1252D15.1,ENSG00000266931,54,22.8144,11.01125
MTHFSD,ENSG00000103248,54,16.2078,6.094035
SLC9A8,ENSG00000197818,54,33.7609,12.48105
WASL,ENSG00000106299,54,72.3745,31.46635
SVIP,ENSG00000198168,54,49.9321,11.438500000000001
CHMP3,ENSG00000115561,54,72.3265,32.13555
STAU1,ENSG00000124214,54,97.8142,51.6505
RNF114,ENSG00000124226,54,185.489,54.113600000000005
ING3,ENSG00000071243,54,14.4432,6.24273
ARL14EP,ENSG00000152219,54,16.8848,8.879175
HAUS1,ENSG00000152240,54,48.3763,12.43395
SCFD2,ENSG00000184178,54,24.0319,7.639424999999999
ATP5A1,ENSG00000152234,54,327.314,132.45
PREX1,ENSG00000124126,54,146.432,19.147100000000002
EMC8,ENSG00000131148,54,35.2514,17.6791
ARFGEF2,ENSG00000124198,54,37.242,17.436799999999998
EPG5,ENSG00000152223,54,27.399,8.26247
DANCR,ENSG00000226950,54,149.598,39.20075
PTCD3,ENSG00000132300,54,41.4843,20.078400000000002
IMMT,ENSG00000132305,54,119.52,52.444199999999995
COX4I1,ENSG00000131143,54,336.589,201.928
CSE1L,ENSG00000124207,54,128.275,34.7269
MRPL35,ENSG00000132313,54,34.4563,19.620449999999998
SPATA2,ENSG00000158480,54,35.2413,9.57292
POT1,ENSG00000128513,54,22.667,7.524375
USP39,ENSG00000168883,54,42.6846,26.7396
SLC7A5,ENSG00000103257,54,150.67,16.293950000000002
APOO,ENSG00000184831,54,33.5336,9.143104999999998
SPTY2D1,ENSG00000179119,54,26.6457,8.352285
SLAIN2,ENSG00000109171,54,51.1399,18.5471
EIF2AK3,ENSG00000172071,54,45.2478,10.37745
UEVLD,ENSG00000151116,54,16.7865,9.882719999999999
RPIA,ENSG00000153574,54,69.7022,17.023899999999998
TSG101,ENSG00000074319,54,54.992,36.3249
UBE2V1,ENSG00000244687,54,109.604,56.3801
SAT1,ENSG00000130066,54,1175.23,222.9065
IGKC,ENSG00000211592,54,26683.4,53.0171
TMEM189,ENSG00000240849,54,26.4439,10.5433
GCC1,ENSG00000179562,54,27.7529,9.624369999999999
ARF5,ENSG00000004059,54,267.589,150.474
SND1,ENSG00000197157,54,195.636,56.109849999999994
FRYL,ENSG00000075539,54,23.302,9.830735
KLHL15,ENSG00000174010,54,22.2194,3.952065
GS1-358P8.4,ENSG00000260822,54,124.388,12.750150000000001
OCIAD2,ENSG00000145247,54,62.7306,19.3735
PIK3C3,ENSG00000078142,54,18.3114,7.558225
PRMT3,ENSG00000185238,54,23.2682,8.940195
HTATIP2,ENSG00000109854,54,45.8255,23.2237
ZNF800,ENSG00000048405,54,16.7126,8.093415
FBXO31,ENSG00000103264,54,123.645,26.315649999999998
MAP1LC3B,ENSG00000140941,54,166.97,51.96895000000001
ZFX,ENSG00000005889,54,24.5709,8.080195
EIF2S3,ENSG00000130741,54,246.428,74.42605
KRCC1,ENSG00000172086,54,76.0344,38.9294
ZCCHC14,ENSG00000140948,54,72.8766,17.5626
ZDHHC13,ENSG00000177054,54,49.9491,7.5138
KLHDC4,ENSG00000104731,54,25.0856,9.492004999999999
AC000123.3,ENSG00000279265,54,11.345,4.72557
OCIAD1,ENSG00000109180,54,136.913,71.52165
C2ORF68,ENSG00000168887,54,29.8104,14.877500000000001
TMEM150A,ENSG00000168890,54,38.9308,22.023400000000002
CTIF,ENSG00000134030,54,67.4752,26.9098
HSDL1,ENSG00000103160,54,40.2494,15.07795
HSBP1,ENSG00000230989,54,32.8192,17.8312
MBTPS1,ENSG00000140943,54,92.1683,42.3902
TRAF6,ENSG00000175104,54,13.2479,7.149685
MTCO2P2,ENSG00000267541,54,13.3801,5.50971
SMAD2,ENSG00000175387,54,9.30055,4.614625
COMMD9,ENSG00000110442,54,14.4182,9.38635
TAF1C,ENSG00000103168,54,115.355,44.43965
BMT2,ENSG00000164603,54,15.2803,6.165430000000001
MDFIC,ENSG00000135272,54,70.6698,10.039995000000001
TRIM44,ENSG00000166326,54,53.8421,19.76275
IER3IP1,ENSG00000134049,54,41.3697,15.787749999999999
HDHD2,ENSG00000167220,54,77.1287,22.5677
CD44,ENSG00000026508,54,233.922,45.77355
PDHX,ENSG00000110435,54,53.1254,18.68495
LINC00998,ENSG00000214194,54,87.6122,35.76735
API5,ENSG00000166181,54,89.143,41.6114
CAT,ENSG00000121691,54,188.008,58.20845
LSMEM1,ENSG00000181016,54,9.75042,2.809455
ZNF277,ENSG00000198839,54,24.1116,7.186555
SRD5A3,ENSG00000128039,54,14.3501,4.581440000000001
CD82,ENSG00000085117,54,216.001,17.30325
IFRD1,ENSG00000006652,54,41.3286,17.7892
EXT2,ENSG00000151348,54,101.726,25.97755
ACCS,ENSG00000110455,54,44.1325,17.2347
NCOA3,ENSG00000124151,54,97.8523,16.802300000000002
TTC17,ENSG00000052841,54,61.4662,27.86305
TMEM168,ENSG00000146802,54,15.6961,9.485005000000001
ALKBH3,ENSG00000166199,54,30.4078,17.6081
RP11-613D13.10,ENSG00000283375,54,122.437,48.3519
MPHOSPH6,ENSG00000135698,54,35.2039,15.70845
