gene,kegg_id,pathway_id,pathway_name
ADCY4,hsa:196883,path:hsa00230,Purine metabolism - Homo sapiens (human)
ADCY4,hsa:196883,path:hsa01100,Metabolic pathways - Homo sapiens (human)
ADCY4,hsa:196883,path:hsa01522,Endocrine resistance - Homo sapiens (human)
ADCY4,hsa:196883,path:hsa04015,Rap1 signaling pathway - Homo sapiens (human)
ADCY4,hsa:196883,path:hsa04020,Calcium signaling pathway - Homo sapiens (human)
ADCY4,hsa:196883,path:hsa04022,cGMP-PKG signaling pathway - Homo sapiens (human)
ADCY4,hsa:196883,path:hsa04024,cAMP signaling pathway - Homo sapiens (human)
ADCY4,hsa:196883,path:hsa04062,Chemokine signaling pathway - Homo sapiens (human)
ADCY4,hsa:196883,path:hsa04072,Phospholipase D signaling pathway - Homo sapiens (human)
ADCY4,hsa:196883,path:hsa04081,Hormone signaling - Homo sapiens (human)
ADCY4,hsa:196883,path:hsa04082,Neuroactive ligand signaling - Homo sapiens (human)
ADCY4,hsa:196883,path:hsa04114,Oocyte meiosis - Homo sapiens (human)
ADCY4,hsa:196883,path:hsa04211,Longevity regulating pathway - Homo sapiens (human)
ADCY4,hsa:196883,path:hsa04213,Longevity regulating pathway - multiple species - Homo sapiens (human)
ADCY4,hsa:196883,path:hsa04261,Adrenergic signaling in cardiomyocytes - Homo sapiens (human)
ADCY4,hsa:196883,path:hsa04270,Vascular smooth muscle contraction - Homo sapiens (human)
ADCY4,hsa:196883,path:hsa04371,Apelin signaling pathway - Homo sapiens (human)
ADCY4,hsa:196883,path:hsa04540,Gap junction - Homo sapiens (human)
ADCY4,hsa:196883,path:hsa04611,Platelet activation - Homo sapiens (human)
ADCY4,hsa:196883,path:hsa04713,Circadian entrainment - Homo sapiens (human)
ADCY4,hsa:196883,path:hsa04714,Thermogenesis - Homo sapiens (human)
ADCY4,hsa:196883,path:hsa04723,Retrograde endocannabinoid signaling - Homo sapiens (human)
ADCY4,hsa:196883,path:hsa04724,Glutamatergic synapse - Homo sapiens (human)
ADCY4,hsa:196883,path:hsa04725,Cholinergic synapse - Homo sapiens (human)
ADCY4,hsa:196883,path:hsa04727,GABAergic synapse - Homo sapiens (human)
ADCY4,hsa:196883,path:hsa04742,Taste transduction - Homo sapiens (human)
ADCY4,hsa:196883,path:hsa04750,Inflammatory mediator regulation of TRP channels - Homo sapiens (human)
ADCY4,hsa:196883,path:hsa04911,Insulin secretion - Homo sapiens (human)
ADCY4,hsa:196883,path:hsa04912,GnRH signaling pathway - Homo sapiens (human)
ADCY4,hsa:196883,path:hsa04913,Ovarian steroidogenesis - Homo sapiens (human)
ADCY4,hsa:196883,path:hsa04914,Progesterone-mediated oocyte maturation - Homo sapiens (human)
ADCY4,hsa:196883,path:hsa04915,Estrogen signaling pathway - Homo sapiens (human)
ADCY4,hsa:196883,path:hsa04916,Melanogenesis - Homo sapiens (human)
ADCY4,hsa:196883,path:hsa04918,Thyroid hormone synthesis - Homo sapiens (human)
ADCY4,hsa:196883,path:hsa04921,Oxytocin signaling pathway - Homo sapiens (human)
ADCY4,hsa:196883,path:hsa04923,Regulation of lipolysis in adipocytes - Homo sapiens (human)
ADCY4,hsa:196883,path:hsa04925,Aldosterone synthesis and secretion - Homo sapiens (human)
ADCY4,hsa:196883,path:hsa04926,Relaxin signaling pathway - Homo sapiens (human)
ADCY4,hsa:196883,path:hsa04927,Cortisol synthesis and secretion - Homo sapiens (human)
ADCY4,hsa:196883,path:hsa04928,"Parathyroid hormone synthesis, secretion and action - Homo sapiens (human)"
ADCY4,hsa:196883,path:hsa04934,Cushing syndrome - Homo sapiens (human)
ADCY4,hsa:196883,path:hsa04935,"Growth hormone synthesis, secretion and action - Homo sapiens (human)"
ADCY4,hsa:196883,path:hsa04970,Salivary secretion - Homo sapiens (human)
ADCY4,hsa:196883,path:hsa04971,Gastric acid secretion - Homo sapiens (human)
ADCY4,hsa:196883,path:hsa04972,Pancreatic secretion - Homo sapiens (human)
