gene,functional_category,disease_class,LOEUF,pLI,betweenness_centrality,tissue_breadth,max_tpm,median_tpm_all,LOEUF_nfe,LOEUF_afr,LOEUF_eas,LOEUF_sas,LOEUF_asj,LOEUF_max_diverse,LOEUF_nfe_43k,LOEUF_nfe_20k,LOEUF_full,LOEUF_v4
OCA2,Pigment-specific,Isolated pigment,0.856,0.0,0.001296,21.0,10.5279,0.4695745,0.923628707533507,0.940851199670629,0.253646404926878,0.348430061504817,0.0,0.777015395374591,0.667639342904665,0.554200021723795,0.954258907184363,0.869
DCT,Pigment-specific,Isolated pigment,1.174,0.0,0.001615,9.0,24.2014,0.514391,0.798022916513411,0.624888634338806,0.202666584109883,0.918203707599878,0.0,0.744352637962401,0.804941291690666,0.818036030407164,0.793570228884251,1.101
PMEL,Pigment-specific,Isolated pigment,1.287,0.0,0.0,23.0,38.1522,0.8107530000000001,0.821144537375171,0.89735519085764,1.03750157264659,0.525576454564393,1.55625235896989,0.789705438108234,0.975681530753145,0.744294606463861,0.836716922193852,0.965
TYRP1,Pigment-specific,Isolated pigment,1.889,0.0,0.000396,8.0,40.8291,0.10801165,0.976602870042016,1.09807036275454,0.780345710892335,0.517433535896351,1.06936264085246,0.838149096884359,0.818062420252131,0.767151459741981,0.953642824436873,1.398
MLANA,Pigment-specific,Isolated pigment,1.952,0.0,0.001296,2.0,10.0225,0.180447,0.908275876921306,0.795008532269943,0.736119011361058,0.68535218299133,0.0,0.567863237335674,0.368059505680529,0.236609682223197,0.915305875968685,1.933
TYR,Pigment-specific,Isolated pigment,1.964,0.0,0.026506,2.0,7.67646,0.0,1.01898005759901,0.888154992583461,0.498353634727386,0.575023424685446,0.0,0.871222541286007,1.12693032978555,1.18725424743877,0.965608758707354,1.346
MC1R,Pigment-specific,Isolated pigment,1.967,0.0,0.016532,53.0,53.8772,5.004695,2.43609466658034,2.29377036104558,0.7397409414372,2.25875096622046,1.05677277348171,2.27612597365292,1.32490914884275,1.71810799301543,2.68536095179258,1.933
SOX10,Developmental/NC,Syndromic/developmental,0.209,0.99166,0.0,,,,0.294547206402559,0.0,0.0,0.0,0.0,0.133623854611893,0.413477587855667,0.270547063658647,0.25964824829799,0.248
TFAP2A,Developmental/NC,Syndromic/developmental,0.261,0.98964,0.039932,15.0,63.1613,0.3253175,0.362640593933509,0.210036181101761,0.53559226180949,0.0,1.78530753936497,0.184686986830859,0.279439440944082,0.30174211932929,0.302069388439192,0.334
KIT,Developmental/NC,Syndromic/developmental,0.305,0.98087,0.067583,46.0,44.4616,7.6505,0.307279112311879,0.0676839221172904,0.0,0.0,0.0,0.107347095136461,0.1266744964397,0.237548733108426,0.256936053862724,0.24
