gene,functional_category,disease_class,LOEUF,pLI,betweenness_centrality,tissue_breadth,max_tpm,median_tpm_all,tau,n_expr,max_tissue,gtex_tissue_category,kegg_primary_pathway
OCA2,Pigment-specific,Isolated pigment,0.856,0.0,0.001296,21.0,10.5279,0.4695745,0.7309139711925808,21.0,Artery - Tibial,Other-restricted,Not in KEGG
DCT,Pigment-specific,Isolated pigment,1.174,0.0,0.001615,9.0,24.2014,0.514391,0.8592651465777502,9.0,Skin - Sun Exposed (Lower leg),Skin-restricted,Melanogenesis
PMEL,Pigment-specific,Isolated pigment,1.287,0.0,0.0,23.0,38.1522,0.8107530000000001,0.8181029304360931,23.0,Skin - Sun Exposed (Lower leg),Skin-restricted,Not in KEGG
TYRP1,Pigment-specific,Isolated pigment,1.889,0.0,0.000396,8.0,40.8291,0.10801165,0.9013381470241251,8.0,Skin - Sun Exposed (Lower leg),Skin-restricted,Melanogenesis
MLANA,Pigment-specific,Isolated pigment,1.952,0.0,0.001296,2.0,10.0225,0.180447,0.9156468492353539,2.0,Skin - Not Sun Exposed (Suprapubic),Skin-restricted,Not in KEGG
TYR,Pigment-specific,Isolated pigment,1.964,0.0,0.026506,2.0,7.67646,0.0,0.9778394804643744,2.0,Skin - Sun Exposed (Lower leg),Skin-restricted,Melanogenesis
MC1R,Pigment-specific,Isolated pigment,1.967,0.0,0.016532,53.0,53.8772,5.004695,0.5477161774303536,53.0,Testis,Broad,Melanogenesis
SOX10,Developmental/NC,Syndromic/developmental,0.209,0.99166,0.0,,,,,,,,Not in KEGG
TFAP2A,Developmental/NC,Syndromic/developmental,0.261,0.98964,0.039932,15.0,63.1613,0.3253175,0.829341425861262,15.0,Skin - Not Sun Exposed (Suprapubic),Skin-restricted,Not in KEGG
KIT,Developmental/NC,Syndromic/developmental,0.305,0.98087,0.067583,46.0,44.4616,7.6505,0.4595531278010742,46.0,Esophagus - Muscularis,Broad,Melanogenesis
MITF,Developmental/NC,Syndromic/developmental,0.308,0.98119,0.082398,49.0,70.7649,7.50488,0.5583900151529573,49.0,Cervix - Ectocervix,Broad,Melanogenesis
KITLG,Developmental/NC,Syndromic/developmental,0.419,0.85024,0.061606,51.0,65.552,7.179690000000001,0.5223200513608139,51.0,Cells - Cultured fibroblasts,Broad,Melanogenesis
PAX3,Developmental/NC,Syndromic/developmental,0.475,0.24063,0.0,9.0,4.62526,0.0141223,0.8678073464637484,9.0,Minor Salivary Gland,Other-restricted,Other (in KEGG)
EDNRB,Developmental/NC,Syndromic/developmental,0.593,0.009242,0.061938,52.0,73.2046,15.1266,0.3697329775476038,52.0,Adipose - Visceral (Omentum),Housekeeping,Melanogenesis
EDN1,Developmental/NC,Syndromic/developmental,0.635,0.45504,0.047435,53.0,64.4625,8.986565,0.4486996531007315,53.0,Adipose - Subcutaneous,Broad,Melanogenesis
PRKCB,Generic signaling,Not classified,0.081,1.0,0.051497,42.0,101.317,3.37526,0.6115130886671425,42.0,Brain - Frontal Cortex (BA9),Brain-restricted,Melanogenesis
STAT3,Generic signaling,Syndromic/developmental,0.095,1.0,0.01151,54.0,172.983,83.3811,0.1937772583631622,54.0,Lung,Housekeeping,JAK-STAT signaling
PIK3CA,Generic signaling,Syndromic/developmental,0.117,1.0,0.05303,54.0,23.1876,9.591695,0.28669926527980744,54.0,Artery - Tibial,Housekeeping,PI3K-Akt signaling
CTNNB1,Generic signaling,Syndromic/developmental,0.129,0.99999,0.003889,54.0,297.537,104.592,0.2073234667768898,54.0,Cervix - Endocervix,Housekeeping,Melanogenesis
NFKB1,Generic signaling,Other Mendelian,0.138,1.0,0.214664,54.0,98.0008,22.53485,0.3931426823316505,54.0,Cells - EBV-transformed lymphocytes,Housekeeping,MAPK signaling
PRKCD,Generic signaling,Not classified,0.171,0.99995,0.061557,54.0,133.745,25.7949,0.3567023624962744,54.0,Whole Blood,Housekeeping,Other (in KEGG)
MAPK1,Generic signaling,Not classified,0.175,0.99698,0.029841,54.0,62.4546,27.9934,0.2033272712786601,54.0,Brain - Nucleus accumbens (basal ganglia),Housekeeping,Melanogenesis
STAT1,Generic signaling,Not classified,0.187,0.99999,0.00175,54.0,501.452,33.23665,0.44467766183930035,54.0,Cells - EBV-transformed lymphocytes,Broad,JAK-STAT signaling
MAPK8,Generic signaling,Not classified,0.207,0.99823,0.026018,54.0,32.1608,9.155415,0.34409099986107167,54.0,Brain - Cerebellar Hemisphere,Housekeeping,MAPK signaling
JAK1,Generic signaling,Syndromic/developmental,0.214,0.99998,0.009681,54.0,139.896,58.1496,0.20412374710367615,54.0,Cells - Cultured fibroblasts,Housekeeping,PI3K-Akt signaling
MAP3K1,Generic signaling,Not classified,0.214,0.99998,0.015885,54.0,37.2243,5.955629999999999,0.44194064083035517,54.0,Skin - Not Sun Exposed (Suprapubic),Broad,MAPK signaling
MAP2K4,Generic signaling,Not classified,0.22,0.99709,0.002671,54.0,62.9933,20.62455,0.27270722127939245,54.0,Brain - Frontal Cortex (BA9),Housekeeping,MAPK signaling
CREB1,Generic signaling,Not classified,0.223,0.99673,0.076145,54.0,20.6387,10.47415,0.2655355659132824,54.0,Cells - EBV-transformed lymphocytes,Housekeeping,Melanogenesis
MAP2K7,Generic signaling,Not classified,0.232,0.99552,0.004845,54.0,66.0568,35.3835,0.16991136291459813,54.0,Brain - Cerebellum,Housekeeping,MAPK signaling
PRKG1,Generic signaling,Not classified,0.235,0.99938,0.010222,49.0,69.3241,3.094865,0.6256652963686473,49.0,Artery - Aorta,Other-restricted,Other (in KEGG)
SRC,Generic signaling,Not classified,0.244,0.99691,0.00722,54.0,59.3292,18.4398,0.2896762794889933,54.0,Uterus,Housekeeping,Other (in KEGG)
WNT5A,Generic signaling,Syndromic/developmental,0.269,0.98732,0.0,41.0,128.426,2.30215,0.7447462865016217,41.0,Cells - Cultured fibroblasts,Other-restricted,Melanogenesis
ATF2,Generic signaling,Not classified,0.283,0.99131,0.0,54.0,48.2523,19.74245,0.2433219258191804,54.0,Brain - Cerebellar Hemisphere,Housekeeping,MAPK signaling
PDPK1,Generic signaling,Not classified,0.29,0.98013,0.026079,54.0,34.4443,14.2306,0.26422463454386547,54.0,Brain - Cerebellar Hemisphere,Housekeeping,PI3K-Akt signaling
HIF1A,Generic signaling,Not classified,0.309,0.9777,0.007057,54.0,503.882,53.7147,0.3841756498617931,54.0,Cells - Cultured fibroblasts,Housekeeping,Other (in KEGG)
AKT1,Generic signaling,Other Mendelian,0.315,0.9759,0.063527,54.0,88.7644,50.03905,0.1543633389674148,54.0,Artery - Aorta,Housekeeping,MAPK signaling
PRKACA,Generic signaling,Other Mendelian,0.318,0.97142,0.035949,54.0,143.526,64.73804999999999,0.17527764241509636,54.0,Ovary,Housekeeping,Melanogenesis
MAP2K2,Generic signaling,Other Mendelian,0.325,0.96673,0.012941,54.0,196.936,89.9879,0.1635274355290277,54.0,Testis,Housekeeping,Melanogenesis
GSK3B,Generic signaling,Other Mendelian,0.334,0.95571,0.002297,54.0,35.7504,14.81065,0.2512743251568527,54.0,Brain - Cerebellar Hemisphere,Housekeeping,Melanogenesis
