gene,in_raghunath,in_baxter,in_bajpai_10pct,source_count
ABCA12,0,1,0,1
ABCB6,0,1,0,1
ABHD11,0,1,0,1
AC002398.9,0,0,1,1
ACD,0,1,0,1
ACTR2,0,0,1,1
ACTR3,0,0,1,1
ACVR2A,0,1,0,1
ADAM10,0,1,0,1
ADAM17,0,1,0,1
ADAMTS20,0,1,0,1
ADAMTS9,0,1,0,1
ADAR,0,1,0,1
ADCY4,1,0,0,1
ADCY5,0,1,0,1
ADGRA2,0,1,0,1
ADRB2,0,1,0,1
AEBP2,0,1,0,1
AFG3L2,0,1,0,1
AHCY,0,1,0,1
AKT1,1,0,0,1
ALCAM,0,1,0,1
ALDH2,0,1,0,1
ALDOA,0,1,0,1
ALG13,0,1,0,1
ALKBH8,0,0,1,1
ALX3,0,1,0,1
AMBRA1,0,1,1,2
ANKRD27,0,0,1,1
ANXA2,0,1,0,1
AP1G1,0,0,1,1
AP1M1,0,0,1,1
AP1S1,0,1,0,1
AP3B1,0,1,1,2
AP3D1,0,1,1,2
AP3S2,0,1,0,1
APC,0,1,0,1
ARCN1,0,1,0,1
ARL6,0,1,0,1
ARL6IP1,0,1,0,1
ARL8B,0,0,1,1
ARPC3,0,0,1,1
ARPC4,0,0,1,1
ARPC4-TTLL3,0,0,1,1
ASCC2,0,0,1,1
ASCC3,0,0,1,1
ASIP,0,1,0,1
ATE1,0,1,0,1
ATF2,1,0,0,1
ATG7,0,1,0,1
ATM,0,1,0,1
ATOH7,0,1,0,1
ATOX1,0,1,0,1
ATP1A1,0,1,0,1
ATP6AP1,0,1,0,1
ATP6AP2,0,1,0,1
ATP6V0A2,0,0,1,1
ATP6V0B,0,1,0,1
ATP6V0C,0,1,0,1
ATP6V0D1,0,1,0,1
ATP6V1E1 / ATP6V1E2,0,1,0,1
ATP6V1F,0,1,0,1
ATP6V1H,0,1,0,1
ATP7A,0,1,0,1
ATP7B,0,1,0,1
ATR,0,1,0,1
ATRN,0,1,0,1
B4GALT1,0,0,1,1
BACE2,0,1,1,2
BAD,1,0,0,1
BAK1,1,0,0,1
BAMBI,0,0,1,1
BARX2,0,1,0,1
BAX,1,0,0,1
BBC3,1,0,0,1
BBIP1,0,1,0,1
BBS1,0,1,0,1
BBS2,0,1,0,1
BBS4,0,1,0,1
BBS7,0,1,0,1
BCL2,1,1,0,2
BCL2L1,1,0,0,1
BCL2L11,0,1,0,1
BID,1,0,0,1
BLM,0,1,0,1
BLOC1S2,0,0,1,1
BLOC1S3,0,1,1,2
BLOC1S4,0,1,0,1
BLOC1S5,0,1,1,2
BLOC1S5-TXNDC5,0,0,1,1
BLOC1S6,0,1,1,2
BMP5,0,1,0,1
BMPR2,0,1,0,1
BNC2,0,1,1,2
BRAF,0,1,0,1
BRCA1,0,1,0,1
BRCA2,0,1,0,1
BRIP1,0,1,0,1
BTD,0,1,0,1
C10ORF11,0,0,1,1
C11ORF30,0,0,1,1
C16ORF62,0,0,1,1
C16ORF80,0,0,1,1
C3ORF38,0,1,0,1
C8ORF37,0,1,0,1
C9ORF91,0,0,1,1
CANX,0,0,1,1
CARS,0,1,0,1
CASP3,1,0,0,1
CASP8,1,0,0,1
CASP9,1,0,0,1
CAV1,0,1,0,1
CBL,0,1,0,1
CBS,0,1,0,1
CCDC22,0,0,1,1
CCDC28B,0,1,0,1
CCDC53,0,0,1,1
CCDC93,0,0,1,1
CCND1,1,0,0,1
CCNK,0,0,1,1
CCT2,0,1,0,1
CCZ1B,0,0,1,1
CD72,0,0,1,1
CDC25A / CDC25B,0,1,0,1
CDC42,1,1,0,2
CDC73,0,1,0,1
CDH11,0,1,0,1
CDH2,1,1,0,2
CDH3,0,1,0,1
CDK12,0,0,1,1
CDK2,1,0,0,1
CDK4,1,0,0,1
CDK5,0,1,0,1
CDK7,0,1,0,1
CDKN1A,1,0,0,1
CDKN2A,0,1,1,2
CDX1,0,1,0,1
CEP131,0,1,0,1
CEP290,0,1,0,1
CFLAR,1,0,0,1
CGA,0,1,0,1
CHD7,0,1,0,1
CHD8,0,0,1,1
CHEK1,0,1,0,1
CIB2,0,1,0,1
CISD2,0,1,0,1
CITED1,0,1,0,1
CLCN7,0,1,0,1
CLN3,0,0,1,1
CMTR2,0,0,1,1
COL17A1,0,1,0,1
COL6A2,0,1,0,1
COLEC11,0,1,0,1
COMMD10,0,0,1,1
COMMD2,0,0,1,1
COMMD3,0,0,1,1
COMMD3-BMI1,0,0,1,1
COMMD4,0,0,1,1
COMMD5,0,0,1,1
COMMD8,0,0,1,1
COP1,0,1,0,1
COPA,0,1,0,1
COPB1,0,1,0,1
COPB2,0,1,0,1
CORIN,0,1,0,1
CORO1A,0,1,0,1
CPLX4,0,1,0,1
CPSF1,0,1,0,1
CRB2,0,1,0,1
CREB1,1,0,0,1
CREB3L2,0,1,0,1
CREBBP,0,0,1,1
CRH,0,1,0,1
CSF1R,0,1,0,1
CSF2,1,0,0,1
CSF2RA,1,0,0,1
CSK,0,0,1,1
CSNK1A1,0,1,0,1
CTBP2,0,1,0,1
CTC1,0,1,0,1
CTDSPL2,0,0,1,1
CTLA4,0,1,0,1
CTNNB1,1,1,0,2
CTNS,0,1,0,1
CTR9,0,1,0,1
CTSD,0,1,0,1
CUL5,0,0,1,1
CXCL12,0,1,0,1
CYCS,1,0,0,1
CYP11A1,0,1,0,1
DCT,1,1,1,3
DCTN1,0,1,0,1
DCTN2,0,1,0,1
DDB2,0,1,0,1
DDX3X,0,1,0,1
DEGS1,0,0,1,1
DEK,0,0,1,1
DFFA,1,0,0,1
DFFB,1,0,0,1
DGKD,0,0,1,1
DHRSX,0,1,0,1
DHX29,0,0,1,1
DIO2,0,1,0,1
DISC1,0,1,0,1
DKC1,0,1,0,1
DLAT,0,1,0,1
DMXL2,0,1,0,1
DNAJC13,0,0,1,1
DNM2,0,1,0,1
DOCK7,0,1,0,1
DRD2,0,1,0,1
DSCR3,0,0,1,1
DSG4,0,1,0,1
DSTYK,0,1,0,1
DTNBP1,0,1,1,2
DUSP1,1,0,0,1
DYNC1H1,0,1,0,1
DYRK1A,0,0,1,1
DZANK1,0,1,0,1
EBNA1BP2,0,1,0,1
ECE1,0,1,0,1
ECE2,0,1,0,1
EDA,0,1,0,1
EDAR,0,1,0,1
EDARADD,0,1,0,1
EDN1,1,1,0,2
EDN3,0,1,0,1
EDNRB,1,1,0,2
EED,0,1,0,1
EGFR,1,1,0,2
EIF3B,0,1,0,1
EIF3C,0,1,0,1
EIF3E,0,1,0,1
EIF3G,0,1,0,1
EIF3H,0,1,0,1
EIF3I,0,1,0,1
ELK1,1,0,0,1
EN1,0,1,0,1
ENPP1,0,1,0,1
EP300,0,0,1,1
EPG5,0,1,0,1
ERBB3,0,1,0,1
ERCC2,0,1,0,1
ERCC3,0,1,0,1
ERCC4,0,1,0,1
ERCC5,0,1,0,1
ERCC6,0,1,0,1
ESCO2,0,1,0,1
ETS1,0,1,0,1
EXOC5,0,1,0,1
EZR,1,0,0,1
F10,1,0,0,1
F2RL1,1,0,0,1
F7,1,0,0,1
F8A1,0,0,1,1
F8A3,0,0,1,1
FAM57B,0,1,0,1
FANCA,0,1,0,1
FANCC,0,1,0,1
FANCD2,0,1,0,1
FANCE,0,1,0,1
FANCI,0,1,0,1
FAS,1,0,0,1
FASLG,1,0,0,1
FBXO5,0,1,0,1
FBXW4,0,1,0,1
FGFR3,0,1,0,1
FHL1,0,1,0,1
FIG4,0,1,1,2
FIP1L1,0,0,1,1
FLNA,0,1,0,1
FMR1,0,1,0,1
FOS,1,0,0,1
FOXD3,0,1,0,1
FOXM1,0,1,0,1
FOXN1,0,1,0,1
FREM2,0,1,0,1
FRYL,0,0,1,1
FSCN1,0,1,0,1
FTO,0,1,0,1
FZD3,1,0,0,1
FZD4,0,1,0,1
GAB1,1,0,0,1
GADD45A,1,0,0,1
GANAB,0,0,1,1
GART,0,1,0,1
GAS7,0,1,0,1
GATA3,0,1,0,1
GBF1,0,1,0,1
GDF6,0,1,0,1
GDPD3,0,1,0,1
GFPT1,0,1,0,1
GGT1,0,1,0,1
GJA4,0,1,0,1
GJA5,0,1,0,1
GLI3,0,1,0,1
GLTSCR1,0,0,1,1
GMPPB,0,1,0,1
GMPS,0,1,0,1
GNA11,0,1,0,1
GNAI3,0,1,0,1
GNAQ,0,1,0,1
GNAS,0,1,0,1
GNAT2,0,1,0,1
GOLGA8M,0,0,1,1
GPATCH3,0,1,0,1
GPC3,0,1,0,1
GPER1,0,1,0,1
GPNMB,0,1,0,1
GPR143,0,1,1,2
GPR161,0,1,0,1
GPR89A / GPR89B,0,1,0,1
GPS2,0,0,1,1
GRK3,0,1,0,1
GRM1,0,1,0,1
GSK3B,1,0,0,1
GTF2IRD1,0,1,0,1
GTPBP3,0,1,0,1
GUCY1A2,1,0,0,1
H3F3A,0,1,0,1
HAUS3,0,0,1,1
HDAC1,0,1,0,1
HDAC2,0,1,0,1
HDAC3,0,0,1,1
HDAC4,0,0,1,1
HELLS,0,1,0,1
HES1,0,1,0,1
HEXIM1,0,1,0,1
HGF,1,1,0,2
HIF1A,1,0,0,1
HIPK2,0,1,0,1
HIRIP3,0,1,0,1
HNRNPA2B1,0,0,1,1
HNRNPR,0,0,1,1
HOXA13,0,1,0,1
HOXB7,0,1,0,1
HPS1,0,1,1,2
HPS3,0,1,1,2
HPS4,0,1,1,2
HPS5,0,1,1,2
HPS6,0,1,1,2
HRAS,1,1,0,2
HSD3B1,0,1,0,1
HSP90B1,0,1,0,1
HSPA13,0,0,1,1
HSPA5,0,0,1,1
HTRA1,0,1,0,1
HTT,0,1,0,1
ICAM1,1,0,0,1
IDS,0,1,0,1
IDUA,0,1,0,1
IER3IP1,0,1,0,1
IFT122,0,1,0,1
IFT27,0,1,0,1
IGFBP7,0,1,0,1
IGSF11,0,1,0,1
IKBKA,1,0,0,1
IKBKB,0,1,0,1
IKBKG,0,1,0,1
IL10,1,0,0,1
IL12A,1,0,0,1
IL17A,0,1,0,1
IL1A,1,0,0,1
IL1R1,1,0,0,1
IL6,1,0,0,1
IL6R,1,0,0,1
IL8,1,0,0,1
ILK,0,1,0,1
IMPDH1,0,1,0,1
INO80E,0,1,0,1
INPP5B,0,1,0,1
INPP5E,0,1,0,1
INTS6,0,0,1,1
INTS8,0,0,1,1
IPPK,0,1,0,1
IRAK1_ACTIVE,1,0,0,1
IRF2BP2,0,0,1,1
IRF4,0,1,0,1
IRX1,0,1,0,1
IRX2,0,1,0,1
ITGA3,0,1,0,1
ITGB1,0,1,0,1
IVL,1,0,0,1
JAK1,1,0,0,1
JAM3,0,1,0,1
JUN,1,0,0,1
KBTBD8,0,1,0,1
KCNJ13,0,1,0,1
KCTD15,0,1,0,1
KHDRBS1,0,0,1,1
KIAA0196,0,0,1,1
KIAA1033,0,0,1,1
KIF13A,0,1,0,1
KIF3A,0,1,0,1
KIF5A,0,1,0,1
KIRREL,0,0,1,1
KIT,1,1,0,2
KITLG,1,1,0,2
KLF6,0,0,1,1
KRAS,0,1,0,1
KRT1,0,1,0,1
KRT14,0,1,0,1
KRT17,0,1,0,1
KRT2,0,1,0,1
KRT27,0,1,0,1
KRT4,0,1,0,1
KRT5,0,1,0,1
KRT75,0,1,0,1
KRT76,0,1,0,1
KRT9,0,1,0,1
LARP7,0,1,0,1
LEF1,0,1,0,1
LEO1,0,1,0,1
LEP,0,1,0,1
LHX2,0,1,0,1
LIPH,0,1,0,1
LMLN,0,1,0,1
LMNA,0,1,0,1
LMX1A,0,1,0,1
LOX,0,1,0,1
LRMDA,0,1,0,1
LRSAM1,0,1,0,1
LTK,0,1,0,1
LVRN,0,1,0,1
LYST,0,1,1,2
LZIC,0,0,1,1
MAFB,0,1,0,1
MAGOH,0,1,0,1
MAP1LC3A,0,1,0,1
MAP2K1,1,1,0,2
MAP2K2,1,1,0,2
MAP2K3,1,0,0,1
MAP2K4,1,0,0,1
MAP2K6,1,0,0,1
MAP2K7,1,0,0,1
MAP3K1,1,0,0,1
MAP3K14,1,0,0,1
MAP3K5,1,0,0,1
MAP4K2,1,0,0,1
MAPK1,1,0,0,1
MAPK14,1,0,0,1
MAPK3,1,1,0,2
MAPK8,1,0,0,1
MASP1,0,1,0,1
MATN1,0,1,0,1
MBTPS1,0,1,0,1
MC1R,1,1,0,2
MC2R,0,1,0,1
MCL1,1,0,0,1
MCM2,0,1,0,1
MCM4,0,1,0,1
MCOLN3,0,1,0,1
MCRS1,0,1,0,1
MDM2,0,1,0,1
MDM4,0,1,0,1
MDN1,0,1,0,1
MED12,0,1,0,1
MED14,0,1,0,1
MED23,0,1,0,1
MEF2C,0,1,0,1
MEMO1,0,1,0,1
MEN1,0,1,0,1
MEOX1,0,1,0,1
MEPCE,0,1,0,1
MESP1,0,1,0,1
MET,1,0,0,1
MFSD12,0,1,0,1
MGRN1,0,1,0,1
MIB1,0,1,0,1
MIB2,0,1,0,1
MITF,1,1,0,2
MKKS,0,1,0,1
MKLN1,0,1,0,1
MLANA,1,1,0,2
MLH1,0,1,0,1
MLPH,0,1,0,1
MMP1,1,0,0,1
MMP17,0,1,0,1
MNT,0,0,1,1
MPND,0,1,0,1
MPP5,0,1,0,1
MPV17,0,1,0,1
MPZL3,0,1,0,1
MRAP,0,1,0,1
MREG,0,1,0,1
MSH2,0,1,0,1
MSH6,0,1,0,1
MSMO1,0,0,1,1
MSN,1,0,0,1
MTMR6,0,0,1,1
MTMR9,0,0,1,1
MTREX,0,1,0,1
MYC,0,1,0,1
MYCBP2,0,1,0,1
MYH9,0,1,0,1
MYO10,0,1,0,1
MYO5A,0,1,0,1
MYO6,0,1,0,1
MYRIP,0,1,0,1
MYSM1,0,1,0,1
NAA10,0,1,0,1
NBN,0,1,0,1
NCOR1,0,0,1,1
NCSTN,0,1,0,1
NF1,0,1,0,1
NF2,0,0,1,1
NFAT2,1,0,0,1
NFIB,0,1,0,1
NFKB1,1,0,0,1
NGF,1,0,0,1
NINL,0,1,0,1
NNT,0,1,0,1
NOC3L,0,1,0,1
NOS2,1,0,0,1
NOTCH1,0,1,0,1
NOTCH2,0,1,0,1
NOTO,0,1,0,1
NOX1,1,0,0,1
NR0B1,0,1,0,1
NR3C1,0,1,0,1
NR4A3,0,1,0,1
NRARP,0,1,0,1
NRAS,0,1,0,1
NSDHL,0,1,0,1
NSF,0,1,0,1
NSMCE2,0,1,0,1
NTRK1,1,0,0,1
NUP88,0,1,0,1
OAT,0,1,0,1
OCA2,1,1,1,3
OCRL,0,1,0,1
OPHN1,0,1,0,1
OPTN,0,1,0,1
OSTM1,0,1,0,1
OTUD5,0,1,0,1
OVOL1,0,1,0,1
PAFAH1B1,0,1,0,1
PAH,0,1,0,1
PAICS,0,1,0,1
PAK1,1,1,0,2
PALB2,0,1,0,1
PAQR7,0,1,0,1
PARD3,0,1,0,1
PARN,0,1,0,1
PARP3,0,1,0,1
PAX3,1,1,0,2
PAX7,0,1,0,1
PCBD1,0,1,0,1
PCDH10,0,1,0,1
PCNT,0,1,0,1
PDCD10,0,0,1,1
PDHB,0,1,0,1
PDPK1,1,0,0,1
PEPD,0,1,0,1
PFAS,0,1,0,1
PIAS3,1,0,0,1
PICALM,0,1,0,1
PIGK,0,1,0,1
PIK3CA,1,0,0,1
PIKFYVE,0,1,0,1
PKN2,0,1,0,1
PKNOX1,0,1,0,1
PLK4,0,1,0,1
PLXNB2,0,1,0,1
PMAIP1,1,0,0,1
PMCH,0,1,0,1
PMEL,1,1,0,2
PMS2,0,1,0,1
PNN,0,1,0,1
POC1B,0,1,0,1
POFUT1,0,1,0,1
POGLUT1,0,1,0,1
POGZ,0,1,0,1
POLA1,0,1,0,1
POLG,0,1,0,1
POLH,0,1,0,1
POLR1A,0,1,0,1
POLR2G,0,1,0,1
POMC,0,1,0,1
