gene,cluster,composite,canonical
OCA2,1,0.846722943244013,True
DCT,1,0.8886252613227126,True
PMEL,1,0.9292317748072189,True
TYRP1,1,0.9196328543052757,True
MLANA,1,0.9416676521902785,True
TYR,1,0.8370873040397567,True
MC1R,3,0.6252805563185416,True
TFAP2A,2,0.6837434860068364,True
KIT,2,0.5185345200309263,True
MITF,2,0.46107038673218176,True
KITLG,3,0.3918478440558302,True
PAX3,1,0.8371744910883233,True
EDNRB,3,0.37118324190217505,True
EDN1,2,0.5496390758204642,True
PRKCB,3,0.24461093435268266,False
STAT3,4,0.2905440440039472,False
PIK3CA,4,0.24598367337077054,False
CTNNB1,4,0.332604602204521,True
NFKB1,4,0.3114359524100185,False
PRKCD,4,0.3960824164784635,False
MAPK1,4,0.236605859859814,False
STAT1,3,0.3919095982369936,False
MAPK8,4,0.21629779471606747,False
JAK1,2,0.4021381411625873,False
MAP3K1,2,0.5934753250320455,True
MAP2K4,2,0.4687454697704938,False
CREB1,4,0.266391483041364,False
MAP2K7,2,0.44438269026328103,False
PRKG1,3,0.3855139473844838,False
SRC,4,0.2970782245060937,True
WNT5A,3,0.5608420949561538,False
ATF2,3,0.30616387795275585,False
PDPK1,4,0.37089521467883374,False
HIF1A,3,0.42816796565036935,False
AKT1,4,0.1447024449887078,False
PRKACA,4,0.159214041740422,False
MAP2K2,4,0.3201126930354636,True
GSK3B,2,0.49787150743148384,False
MAP3K5,3,0.34121243565484544,False
ELK1,3,0.38480119127550916,False
EGFR,4,0.5100101381767687,True
RAF1,4,0.30280348086939707,True
MAP2K6,3,0.40131252670451084,False
MAP2K1,4,0.1879470621223219,True
PRKCH,2,0.6159073525148019,False
PRKCZ,2,0.45099364623390104,False
RAC1,4,0.36434092631589654,True
MAPK14,4,0.4251939891961179,False
CDC42,4,0.41714901689251055,True
RPS6KA1,2,0.5977624322214083,False
RAP1A,3,0.30910272525890664,False
PAK1,3,0.39085349841807565,True
USF1,3,0.4798047137276445,False
MAPK3,4,0.2367288118781664,True
FZD3,3,0.468685782009807,False
FOS,4,0.5206277244959207,False
MAP2K3,2,0.5893314366772467,False
RHOA,2,0.4170170838928564,False
MAP4K2,3,0.5160129307056095,False
HRAS,4,0.49915928477690286,True
JUN,4,0.4707708002706057,False
TNFRSF1A,4,0.25657034286048547,False
HGF,3,0.4179917985360841,True
MET,4,0.476376760590246,False
TNF,4,0.4991204201764024,False
CSF2,2,0.5256719363567927,False
IL1R1,2,0.5444256559136503,False
NGF,3,0.45446284830311906,False
NTRK1,3,0.43454319073124575,False
IL6,3,0.4722241296872774,True
IL6R,3,0.5154368762589269,False
IL12A,3,0.4572951159993082,False
IL10,3,0.5380485233677187,False
IL1A,1,0.7169731168233331,False
CFLAR,3,0.41204511727095156,False
MCL1,2,0.5964352339315143,False
BCL2L1,2,0.43325350592077155,False
FAS,2,0.48775558442186,False
TP53,4,0.5239677752853568,True
CASP3,4,0.3409182091700747,False
BCL2,3,0.48185452336263196,True
FASLG,3,0.4937594101609392,False
BAX,2,0.42030483834869475,False
CASP8,4,0.5188082412663534,False
CASP9,3,0.32696438699159697,False
DFFB,3,0.48201411460558713,False
DFFA,3,0.5432087726861177,False
BAK1,2,0.5787415086013957,False
BAD,2,0.41749061209281974,False
BBC3,2,0.7352555335561252,False
PMAIP1,1,0.8366409572168304,False
BID,3,0.44879942559868974,False
MSN,3,0.4171782646900242,False
PPP3CA,3,0.4098816545097561,False
PTGS2,3,0.33556363684917295,False
CDH2,3,0.4473723238265275,True
PTGER4,2,0.47598493547681536,False
PIAS3,2,0.6051828686748459,False
RDX,3,0.4104311634010865,False
SPTLC2,3,0.45772199078312886,False
CCND1,2,0.5944119698518789,True
GUCY1A2,3,0.39612954676087003,False
GAB1,2,0.46595572264949436,False
EZR,2,0.6423762913538424,True
RYR1,2,0.5580490892490183,False
CDK2,2,0.6563914703249303,False
PTGER3,1,0.6526955183472706,False
ICAM1,2,0.5896899606299213,False
CDK4,2,0.4796103112474313,False
NOS2,3,0.44228980370912935,False
ADCY4,4,0.39576077018352357,False
F7,3,0.7334028286435125,False
CYCS,3,0.24342115302447662,False
DUSP1,2,0.5931888873629169,False
F10,1,0.7822572210268776,False
SPTLC1,2,0.6417956271999431,False
PTGER2,3,0.5333700679311888,False
NOX1,1,0.7210426935186881,False
SMPD1,2,0.5997874448106778,False
CSF2RA,3,0.6363419461738794,False
GADD45A,2,0.5883394753708112,False
F2RL1,1,0.7902315376457304,False
CDKN1A,2,0.6075878641986612,False
MMP1,3,0.6897954752385603,False
SMPD2,1,0.7610469249120023,False
PTGER1,3,0.5215528450477119,False
TPSAB1,1,0.8748324609859813,False
