gene,BetweennessCentrality,LOEUF,pLI,functional_category,disease_class,kegg_functional_category,n_kegg_pathways,in_kegg_melanogenesis
CFLAR,0.00044648,0.173,0.99967,Apoptosis/cell death,Other Mendelian,Specialized/other,7,False
MCL1,0.0,0.29,0.96349,Apoptosis/cell death,Not classified,Specialized/other,4,False
BCL2L1,0.00171391,0.341,0.93667,Apoptosis/cell death,Not classified,Pleiotropic signaling,28,False
FAS,0.0050409,0.441,0.8117,Apoptosis/cell death,Other Mendelian,Pleiotropic signaling,32,False
TP53,0.02551789,0.469,0.53235,Apoptosis/cell death,Other Mendelian,Pleiotropic signaling,51,False
CASP3,0.05886104,0.686,0.10017,Apoptosis/cell death,Other Mendelian,Pleiotropic signaling,46,False
BCL2,0.00264767,0.712,0.55903,Apoptosis/cell death,Other Mendelian,Pleiotropic signaling,43,False
FASLG,0.00321178,0.716,0.18345,Apoptosis/cell death,Not classified,Pleiotropic signaling,31,False
BAX,0.00624674,0.751,0.31746,Apoptosis/cell death,Not classified,Pleiotropic signaling,50,False
CASP8,0.01934902,0.811,3.7236e-06,Apoptosis/cell death,Other Mendelian,Pleiotropic signaling,37,False
CASP9,0.01493238,0.974,7.3826e-06,Apoptosis/cell death,Not classified,Pleiotropic signaling,35,False
DFFB,0.00496889,1.08,1.1349e-05,Apoptosis/cell death,Not classified,Specialized/other,1,False
DFFA,0.0,1.161,8.6585e-05,Apoptosis/cell death,Not classified,Specialized/other,1,False
BAK1,0.01353369,1.369,7.4028e-06,Apoptosis/cell death,Not classified,Pleiotropic signaling,33,False
BAD,0.00759541,1.533,0.0046237,Apoptosis/cell death,Not classified,Pleiotropic signaling,43,False
BBC3,0.00023764,1.589,0.0039762,Apoptosis/cell death,Not classified,Specialized/other,9,False
PMAIP1,0.00396715,1.848,0.11182,Apoptosis/cell death,Not classified,Specialized/other,7,False
BID,0.00317132,1.917,1.5646e-11,Apoptosis/cell death,Not classified,Pleiotropic signaling,24,False
TNFRSF1A,0.0789998,0.236,0.9949,Cytokines/growth factors,Not classified,Pleiotropic signaling,35,False
HGF,0.0,0.25,0.99947,Cytokines/growth factors,Syndromic/developmental,Pleiotropic signaling,17,False
MET,0.0184281,0.305,0.96998,Cytokines/growth factors,Syndromic/developmental,Pleiotropic signaling,24,False
TNF,0.07717067,0.487,0.8033,Cytokines/growth factors,Not classified,Pleiotropic signaling,67,False
CSF2,0.01221339,0.505,0.83468,Cytokines/growth factors,Not classified,Pleiotropic signaling,16,False
IL1R1,0.01130603,0.506,0.15126,Cytokines/growth factors,Not classified,Specialized/other,13,False
NGF,0.00687867,0.528,0.82026,Cytokines/growth factors,Syndromic/developmental,Specialized/other,9,False
NTRK1,0.00660502,0.658,1.9568e-06,Cytokines/growth factors,Syndromic/developmental,Specialized/other,11,False
IL6,0.00602227,0.753,0.31536,Cytokines/growth factors,Not classified,Pleiotropic signaling,51,False
IL6R,0.0078514,0.813,3.1681e-05,Cytokines/growth factors,Not classified,Specialized/other,12,False
IL12A,0.00158188,0.815,0.04746,Cytokines/growth factors,Not classified,Pleiotropic signaling,25,False
IL10,0.00082095,1.039,0.0058874,Cytokines/growth factors,Not classified,Pleiotropic signaling,23,False
IL1A,0.0094769,1.309,0.0001602,Cytokines/growth factors,Not classified,Pleiotropic signaling,21,False
IL8,0.00082095,1.861,0.00027377,Cytokines/growth factors,Not classified,Pleiotropic signaling,33,False
SOX10,0.0,0.209,0.99166,Developmental/NC,Syndromic/developmental,Developmental/NC TF,0,False
TFAP2A,0.03993222,0.261,0.98964,Developmental/NC,Syndromic/developmental,Developmental/NC TF,0,False
KIT,0.06758285,0.305,0.98087,Developmental/NC,Syndromic/developmental,Shared melanogenesis signaling,11,True
MITF,0.08239823,0.308,0.98119,Developmental/NC,Syndromic/developmental,Melanocyte effector,7,True
KITLG,0.06160578,0.419,0.85024,Developmental/NC,Syndromic/developmental,Shared melanogenesis signaling,8,True
PAX3,0.0,0.475,0.24063,Developmental/NC,Syndromic/developmental,Developmental/NC TF,1,False
EDNRB,0.06193821,0.593,0.0092419,Developmental/NC,Syndromic/developmental,Melanocyte effector,6,True
EDN1,0.04743481,0.635,0.45504,Developmental/NC,Syndromic/developmental,Shared melanogenesis signaling,12,True
PRKCB,0.0514965,0.081,1.0,Generic signaling,Not classified,Shared melanogenesis signaling,73,True
STAT3,0.01150965,0.095,1.0,Generic signaling,Syndromic/developmental,Pleiotropic signaling,33,False
PIK3CA,0.05303048,0.117,1.0,Generic signaling,Syndromic/developmental,Pleiotropic signaling,109,False
CTNNB1,0.0038887,0.129,0.99999,Generic signaling,Syndromic/developmental,Shared melanogenesis signaling,33,True
