,betweenness_centrality,kegg_pathway_count,LOEUF,tau,skin_z,skin_rank,pbs1_african,pbs3_melanesian,pi_african,pi_melanesian
betweenness_centrality,,3.1591460908930444e-05,0.14848076749629754,0.1999391185054628,0.4967243993742892,0.41852998010433967,0.24369251231036887,0.7213851164261171,0.2163801168736795,0.25529590081198233
kegg_pathway_count,3.1591460908930444e-05,,0.0019372121123192403,9.384676918658561e-07,0.25529590081198233,0.2163801168736795,0.41852998010433967,0.6411732414807534,0.6461488056822026,0.6411732414807534
LOEUF,0.14848076749629754,0.0019372121123192403,,0.0005898822539258249,0.25529590081198233,0.16210592848214966,0.604423976581795,0.7213851164261171,0.0017276924062839202,0.16210592848214966
tau,0.1999391185054628,9.384676918658561e-07,0.0005898822539258249,,0.7213851164261171,0.41852998010433967,0.0460567848960568,0.223427635200714,0.11782757251652802,0.21866846672147677
skin_z,0.4967243993742892,0.25529590081198233,0.25529590081198233,0.7213851164261171,,1.5328734809097508e-68,0.2163801168736795,0.16915495693448118,0.9473940462594628,0.4967243993742892
skin_rank,0.41852998010433967,0.2163801168736795,0.16210592848214966,0.41852998010433967,1.5328734809097508e-68,,0.11782757251652802,0.204689486836083,0.7393174399022312,0.41852998010433967
pbs1_african,0.24369251231036887,0.41852998010433967,0.604423976581795,0.0460567848960568,0.2163801168736795,0.11782757251652802,,0.7395132511500555,0.7213851164261171,0.11782757251652802
pbs3_melanesian,0.7213851164261171,0.6411732414807534,0.7213851164261171,0.223427635200714,0.16915495693448118,0.204689486836083,0.7395132511500555,,0.6447796066171669,3.579434403778703e-05
pi_african,0.2163801168736795,0.6461488056822026,0.0017276924062839202,0.11782757251652802,0.9473940462594628,0.7393174399022312,0.7213851164261171,0.6447796066171669,,1.801540167914054e-17
pi_melanesian,0.25529590081198233,0.6411732414807534,0.16210592848214966,0.21866846672147677,0.4967243993742892,0.41852998010433967,0.11782757251652802,3.579434403778703e-05,1.801540167914054e-17,
