branch,predictor,n,spearman_rho,spearman_p,adj_beta,adj_se,adj_ci_lo,adj_ci_hi,adj_p,perm_p,vif,direction
AFR,tau,122,0.07463130450299219,0.4139376763005311,2.3677092695879143,2.6388132246527687,-2.8578593302064936,7.593277869382322,0.3714056472543632,0.37546245375462456,1.0794712747543116,tissue-specific genes higher
AFR,betweenness_centrality,123,-0.030568673469819355,0.7371424503513924,0.5116173216393386,2.561299148274913,-4.560010805429081,5.583245448707758,0.8420177086000967,0.8482151784821518,1.006288893094299,central genes higher
AFR,kegg_log1p,123,-0.05121092100081252,0.5737571399632209,-2.036568910797934,2.554555944947344,-7.0948448217905105,3.0217070001946427,0.4269052375958338,0.4423557644235576,1.0060062929513778,fewer-pathway genes higher
AFR,LOEUF,123,0.037033931918629755,0.6842488783472087,2.4336145458976386,2.9354095973030927,-3.3787896350727307,8.246018726868009,0.4087334256039619,0.41135886411358863,1.3289086248424917,less-constrained genes higher
AFR,tissue_breadth,122,-0.07455684913599321,0.4144049251512832,-1.567817968235093,2.620401328499446,-6.75692600102058,3.6212900645503945,0.5507783780490864,0.5509449055094491,1.0604542313366676,tissue-restricted genes higher
MEL,tau,122,0.0423004351978217,0.6436361296918275,-0.6697526817869289,2.520364656918988,-5.660760869932001,4.321255506358143,0.790905935306566,0.7872212778722127,1.0794712747543116,broadly-expressed genes higher
MEL,betweenness_centrality,123,0.03584147115267429,0.6938992835689756,-0.1698477484960696,2.436804392551155,-4.99496382513634,4.655268328144201,0.9445486238290054,0.9485051494850515,1.006288893094299,peripheral genes higher
MEL,kegg_log1p,123,0.029532975229129992,0.7457389321207569,1.5275393389461482,2.4324847789380453,-3.2890234713124613,6.344102149204758,0.5312236866109531,0.5266473352664733,1.0060062929513778,more-pathway genes higher
MEL,LOEUF,123,0.17300344060063771,0.055675707888501916,3.6494869281527724,2.780316893094178,-1.8558182083741523,9.154792064679697,0.1918384880327861,0.1850814918508149,1.3289086248424917,less-constrained genes higher
MEL,tissue_breadth,122,-0.02106883369607842,0.817825427853332,2.315908434000573,2.489701244303123,-2.614377849073294,7.24619471707444,0.3541690625833859,0.35166483351664835,1.0604542313366676,broadly-expressed genes higher
EUR,tau,122,-0.08444556061872771,0.35507886681685086,-2.2745050178368347,2.411721902397196,-7.050370974117826,2.501360938444157,0.34755454762493126,0.35626437356264373,1.0794712747543116,broadly-expressed genes higher
EUR,betweenness_centrality,123,0.037329084207629086,0.6818680223340902,0.030382943622664207,2.330978577727161,-4.585187450158661,4.645953337403989,0.9896221627957872,0.9896010398960104,1.006288893094299,central genes higher
EUR,kegg_log1p,123,-0.005842077350076944,0.9488661073051939,-0.6686759748815664,2.3298466923530547,-5.28200512257346,3.944653172810327,0.774608180184549,0.7797220277972203,1.0060062929513778,fewer-pathway genes higher
EUR,LOEUF,123,-0.05519136079401541,0.5443060110024428,2.184731627129159,2.6712072730852596,-3.1045255642978424,7.47398881855616,0.4150593581076181,0.42155784421557846,1.3289086248424917,less-constrained genes higher
EUR,tissue_breadth,122,0.11951120552495198,0.18980377841219226,2.5148392968052096,2.3881808993711355,-2.2144090644632235,7.244087658073642,0.2944762633494874,0.3007699230076992,1.0604542313366676,broadly-expressed genes higher
SAS,tau,122,-0.10433842991728928,0.252741253306787,-1.5460243661648307,2.461127872916205,-6.419727594813015,3.327678862483353,0.5311018085165569,0.5464453554644536,1.0794712747543116,broadly-expressed genes higher
SAS,betweenness_centrality,123,-0.11527871751671347,0.2041963862008786,-0.43791015936609157,2.3603556006798647,-5.111649992666737,4.235829673934554,0.8531314075196502,0.8659134086591341,1.006288893094299,peripheral genes higher
SAS,kegg_log1p,123,0.020797279224707928,0.8193954496909015,-0.5527752928598523,2.359821442883239,-5.2254574403733915,4.119906854653687,0.8151976753700889,0.818018198180182,1.0060062929513778,fewer-pathway genes higher
SAS,LOEUF,123,0.029066074211103934,0.7496246137632823,4.0104929802618825,2.6878277318195747,-1.3116743794515937,9.332660339975359,0.1383207312699188,0.1471852814718528,1.3289086248424917,less-constrained genes higher
SAS,tissue_breadth,122,0.09565112389397823,0.2946247021868004,1.678810291583645,2.4385355915570375,-3.1501540692412124,6.507774652408502,0.492520605001505,0.5049495050494951,1.0604542313366676,broadly-expressed genes higher
