tissue,n_expressed,n_not_expressed,median_loeuf_expressed,median_loeuf_not_expressed,delta_loeuf,mw_p
Colon - Sigmoid,108,19,0.4405,1.064,-0.6235,1.282176096835263e-05
Cervix - Ectocervix,109,18,0.441,1.0514999999999999,-0.6104999999999998,4.467239568654465e-05
Cervix - Endocervix,110,17,0.454,1.064,-0.6100000000000001,5.8636115010564005e-05
Vagina,112,15,0.4615,1.064,-0.6025,7.637467361118872e-05
Nerve - Tibial,106,21,0.4485,1.039,-0.5904999999999999,0.00011424744139068711
Brain - Cortex,103,24,0.44,1.0105,-0.5705,2.0579066923429682e-05
Brain - Frontal Cortex (BA9),104,23,0.4405,0.982,-0.5415,7.307931157406509e-05
Brain - Spinal cord (cervical c-1),101,26,0.439,0.976,-0.5369999999999999,1.5394931737831913e-05
Brain - Anterior cingulate cortex (BA24),99,28,0.44,0.976,-0.536,3.127755732123975e-05
Prostate,109,18,0.441,0.9704999999999999,-0.5294999999999999,6.744994822170142e-05
Uterus,107,20,0.441,0.9704999999999999,-0.5294999999999999,0.00011241427961963373
Esophagus - Gastroesophageal Junction,105,22,0.441,0.9704999999999999,-0.5294999999999999,9.291055379880134e-05
Breast - Mammary Tissue,109,18,0.456,0.9704999999999999,-0.5145,9.003758281532109e-05
Artery - Tibial,105,22,0.467,0.9704999999999999,-0.5034999999999998,0.0002522729163431506
Brain - Hippocampus,98,29,0.4395,0.902,-0.4625,4.065168399529016e-05
Brain - Hypothalamus,100,27,0.4405,0.902,-0.4615,0.00017846041958401813
Thyroid,106,21,0.4405,0.902,-0.4615,0.00014868539319324065
Esophagus - Muscularis,104,23,0.454,0.902,-0.448,0.00017902384193039264
Testis,111,16,0.469,0.9095,-0.4405,0.0023894490121635784
Ovary,99,28,0.44,0.879,-0.439,0.0002943728288701006
Brain - Amygdala,97,30,0.441,0.879,-0.438,0.00031303146600320306
Minor Salivary Gland,108,19,0.46799999999999997,0.902,-0.43400000000000005,0.0017306875676134567
Fallopian Tube,112,15,0.471,0.902,-0.43100000000000005,0.0037055871983415587
Brain - Cerebellum,96,31,0.4395,0.856,-0.4165,7.073257375508196e-05
Brain - Substantia nigra,98,29,0.4395,0.856,-0.4165,0.00011900945739250378
Colon - Transverse,109,18,0.469,0.879,-0.41000000000000003,0.0020254842036048037
Bladder,106,21,0.454,0.856,-0.40199999999999997,0.00106008307433986
Kidney - Cortex,104,23,0.454,0.856,-0.40199999999999997,0.001095203644049208
Heart - Atrial Appendage,99,28,0.441,0.8354999999999999,-0.3944999999999999,0.001353500084182918
Artery - Coronary,107,20,0.467,0.8585,-0.3915,0.0006293464053712963
Spleen,110,17,0.46799999999999997,0.856,-0.388,0.002840722964838295
Kidney - Medulla,112,15,0.471,0.856,-0.385,0.005030395187370425
Brain - Cerebellar Hemisphere,95,32,0.44,0.813,-0.37299999999999994,0.0004486073315269128
Stomach,107,20,0.467,0.8354999999999999,-0.3684999999999999,0.0017242306489615809
Adipose - Visceral (Omentum),107,20,0.469,0.8354999999999999,-0.36649999999999994,0.0028656241718282354
Brain - Putamen (basal ganglia),96,31,0.4485,0.811,-0.36250000000000004,0.0018390662728626794
Adipose - Subcutaneous,102,25,0.454,0.815,-0.36099999999999993,0.0014408294695853001
Heart - Left Ventricle,96,31,0.454,0.811,-0.35700000000000004,0.009206117245820407
Muscle - Skeletal,89,38,0.439,0.783,-0.34400000000000003,0.000597341078241218
Cells - Cultured fibroblasts,99,28,0.467,0.8055,-0.33849999999999997,0.00140921636557115
Pituitary,109,18,0.473,0.8089999999999999,-0.33599999999999997,0.02153703959030012
Brain - Caudate (basal ganglia),99,28,0.467,0.783,-0.316,0.007867057682695702
Artery - Aorta,105,22,0.469,0.7849999999999999,-0.31599999999999995,0.0030215205020137055
Pancreas,96,31,0.4405,0.755,-0.3145,0.004796480315674041
Brain - Nucleus accumbens (basal ganglia),98,29,0.4615,0.755,-0.2935,0.007440004942471426
Esophagus - Mucosa,106,21,0.46799999999999997,0.755,-0.28700000000000003,0.010461083070955305
Adrenal Gland,100,27,0.46799999999999997,0.755,-0.28700000000000003,0.007666632268346563
Skin - Sun Exposed (Lower leg),114,13,0.48,0.755,-0.275,0.08223362123175748
Skin - Not Sun Exposed (Suprapubic),114,13,0.48,0.755,-0.275,0.09408315664454674
Liver,92,35,0.46799999999999997,0.712,-0.244,0.02183371236976984
Lung,117,10,0.501,0.7404999999999999,-0.23949999999999994,0.1694232106147867
Small Intestine - Terminal Ileum,114,13,0.486,0.716,-0.22999999999999998,0.05181528111207578
Whole Blood,91,36,0.469,0.6275,-0.15849999999999997,0.025874370122926368
Cells - EBV-transformed lymphocytes,89,38,0.473,0.6255,-0.15249999999999997,0.054307060558969764
