gene	in_raghunath	in_baxter	in_gwas	in_bajpai	n_studies	chrom	start	end	strand	ensembl_id	coord_source	reference_genome
SDF4	0	1	0	0	1	1	1216887	1238870	-	ENSG00000078808	mygene.info	GRCh38
MIB2	0	1	1	0	2	1	1615434	1630610	+	ENSG00000197530	mygene.info	GRCh38
PRKCZ	1	0	0	0	1	chr1	2040411	2195395			gene_regions_bed	GRCh38
DFFB	1	0	0	0	1	chr1	3847267	3895429			gene_regions_bed	GRCh38
SLC45A1	0	0	1	0	1	1	8318104	8344167	+	ENSG00000162426	mygene.info	GRCh38
LZIC	0	0	0	1	1	1	9922113	9943407	-	ENSG00000162441	mygene.info	GRCh38
DFFA	1	0	0	0	1	chr1	10446522	10482549			gene_regions_bed	GRCh38
SRM	0	1	0	0	1	1	11054584	11060053	-	ENSG00000116649	mygene.info	GRCh38
CASP9	1	0	0	0	1	chr1	15480832	15536534			gene_regions_bed	GRCh38
ZBTB17	0	1	0	0	1	1	15940403	15976132	-	ENSG00000116809	mygene.info	GRCh38
PADI3	0	0	1	0	1	1	17249098	17284233	+	ENSG00000142619	mygene.info	GRCh38
PAX7	0	1	0	0	1	1	18630846	18748876	+	ENSG00000009709	mygene.info	GRCh38
ECE1	0	1	0	0	1	1	21217247	21345572	-	ENSG00000117298	mygene.info	GRCh38
USP48	0	1	0	0	1	1	21678298	21783606	-	ENSG00000090686	mygene.info	GRCh38
CDC42	1	1	0	0	2	chr1	22042627	22111360			gene_regions_bed	GRCh38
HNRNPR	0	0	0	1	1	1	23303771	23344358	-	ENSG00000282958	mygene.info	GRCh38
PAQR7	0	1	0	0	1	1	25861484	25875874	-	ENSG00000182749	mygene.info	GRCh38
RPS6KA1	1	0	0	0	1	chr1	26519756	26585030			gene_regions_bed	GRCh38
GPATCH3	0	1	0	0	1	1	26890488	26900467	-	ENSG00000198746	mygene.info	GRCh38
STX12	0	1	0	0	1	1	27773195	27824443	+	ENSG00000117758	mygene.info	GRCh38
TRNAU1AP	0	0	0	1	1	1	28553001	28578545	+	ENSG00000180098	mygene.info	GRCh38
MATN1	0	1	0	0	1	1	30711277	30723585	-	ENSG00000162510	mygene.info	GRCh38
KHDRBS1	0	0	0	1	1	1	32013687	32060850	+	ENSG00000121774	mygene.info	GRCh38
CCDC28B	0	1	0	0	1	1	32200383	32205453	+	ENSG00000160050	mygene.info	GRCh38
EIF3I	0	1	0	0	1	1	32221077	32245397	+	ENSG00000084623	mygene.info	GRCh38
HDAC1	0	1	0	0	1	1	32291921	32333635	+	ENSG00000116478	mygene.info	GRCh38
GJA4	0	1	0	0	1	1	34792997	34795756	+	ENSG00000187513	mygene.info	GRCh38
SFPQ	0	1	0	0	1	1	35176378	35193446	-	ENSG00000116560	mygene.info	GRCh38
TFAP2E	0	1	0	0	1	1	35573314	35595328	+	ENSG00000116819	mygene.info	GRCh38
INPP5B	0	1	0	0	1	1	37860696	37947077	-	ENSG00000204084	mygene.info	GRCh38
ZMPSTE24	0	1	0	0	1	1	40258041	40294180	+	ENSG00000084073	mygene.info	GRCh38
SLC2A1	0	1	0	0	1	1	42925353	42958893	-	ENSG00000117394	mygene.info	GRCh38
EBNA1BP2	0	1	0	0	1	1	43164175	43270936	-	ENSG00000117395	mygene.info	GRCh38
SZT2	0	1	0	0	1	1	43389882	43454247	+	ENSG00000198198	mygene.info	GRCh38
ATP6V0B	0	1	0	0	1	1	43974487	43978295	+	ENSG00000117410	mygene.info	GRCh38
PTCH2	0	1	0	0	1	1	44819154	44843253	-	ENSG00000117425	mygene.info	GRCh38
MAGOH	0	1	0	0	1	1	53226890	53238621	-	ENSG00000162385	mygene.info	GRCh38
MYSM1	0	1	0	0	1	1	58643440	58700090	-	ENSG00000162601	mygene.info	GRCh38
JUN	1	0	0	0	1	chr1	58766845	58794048			gene_regions_bed	GRCh38
DOCK7	0	1	0	0	1	1	62454298	62688464	-	ENSG00000116641	mygene.info	GRCh38
FOXD3	0	1	0	0	1	1	63322567	63325128	+	ENSG00000187140	mygene.info	GRCh38
JAK1	1	0	0	0	1	chr1	64823223	65077754			gene_regions_bed	GRCh38
GADD45A	1	0	0	0	1	chr1	67675201	67698334			gene_regions_bed	GRCh38
PTGER3	1	0	0	0	1	chr1	70842353	71057816			gene_regions_bed	GRCh38
PIGK	0	1	0	0	1	1	77088987	77219508	-	ENSG00000142892	mygene.info	GRCh38
MCOLN3	0	1	0	0	1	1	85018082	85048679	-	ENSG00000055732	mygene.info	GRCh38
PKN2	0	1	0	0	1	1	88684222	88836255	+	ENSG00000065243	mygene.info	GRCh38
GNAI3	0	1	0	0	1	1	109548584	109600195	+	ENSG00000065135	mygene.info	GRCh38
GNAT2	0	1	0	0	1	1	109601407	109619929	-	ENSG00000134183	mygene.info	GRCh38
ALX3	0	1	0	0	1	1	110059870	110070672	-	ENSG00000156150	mygene.info	GRCh38
RAP1A	1	0	0	0	1	chr1	111532218	111726691			gene_regions_bed	GRCh38
TRIM33	0	1	0	0	1	1	114392781	114511244	-	ENSG00000197323	mygene.info	GRCh38
NRAS	0	1	0	0	1	1	114704469	114716771	-	ENSG00000213281	mygene.info	GRCh38
NGF	1	0	0	0	1	chr1	115275904	115348770			gene_regions_bed	GRCh38
VANGL1	0	1	0	0	1	1	115641854	115698224	+	ENSG00000173218	mygene.info	GRCh38
ATP1A1	0	1	0	0	1	1	116372668	116410261	+	ENSG00000163399	mygene.info	GRCh38
TBX15	0	1	0	0	1	1	118883046	118989556	-	ENSG00000092607	mygene.info	GRCh38
HSD3B1	0	1	0	0	1	1	119507198	119515054	+	ENSG00000203857	mygene.info	GRCh38
NOTCH2	0	1	0	0	1	1	119911553	120100779	-	ENSG00000134250	mygene.info	GRCh38
PIAS3	1	0	0	0	1	chr1	145838521	145869836			gene_regions_bed	GRCh38
GJA5	0	1	0	0	1	1	147756199	147773362	-	ENSG00000265107	mygene.info	GRCh38
RPRD2	0	0	0	1	1	1	150363091	150476566	+	ENSG00000163125	mygene.info	GRCh38
MCL1	1	0	0	0	1	chr1	150550895	150589738			gene_regions_bed	GRCh38
POGZ	0	1	0	0	1	1	151402724	151459494	-	ENSG00000143442	mygene.info	GRCh38
IVL	1	0	0	0	1	1	152908546	152911886	+	ENSG00000163207	mygene.info	GRCh38
IL6R	1	0	0	0	1	chr1	154395193	154479450			gene_regions_bed	GRCh38
ADAR	0	1	0	0	1	1	154581695	154628013	-	ENSG00000160710	mygene.info	GRCh38
RIT1	0	1	0	0	1	1	155897808	155911408	-	ENSG00000143622	mygene.info	GRCh38
LMNA	0	1	0	0	1	1	156082572	156140081	+	ENSG00000160789	mygene.info	GRCh38
NTRK1	1	0	0	0	1	chr1	156805636	156891850			gene_regions_bed	GRCh38
COPA	0	1	0	0	1	1	160288594	160343566	-	ENSG00000122218	mygene.info	GRCh38
NCSTN	0	1	0	0	1	1	160343294	160358957	+	ENSG00000162736	mygene.info	GRCh38
USF1	1	0	0	0	1	chr1	161029249	161055977			gene_regions_bed	GRCh38
LMX1A	0	1	0	0	1	1	165201867	165356715	-	ENSG00000162761	mygene.info	GRCh38
GPR161	0	1	0	0	1	1	168079542	168137685	-	ENSG00000143147	mygene.info	GRCh38
