gene_name,gene_id_x,chrom,start,end,n_snps_hgdp,pbs1_african_hgdp,pbs2_african_hgdp,pbs3_melanesian_hgdp,pbs4_melanesian_hgdp,gene_id_y,pbs1_african_sgdp,pbs2_african_sgdp,pbs3_melanesian_sgdp,pbs4_melanesian_sgdp,n_snps_sgdp,is_network
PRKCZ,,chr1,2040411,2195395,6490,0.1811346592572622,0.1352231796176729,0.1097965972234296,0.1557080768630189,ENSG00000067606,0.4105380610563648,0.3664800656782017,0.4646709431898156,0.508728938567979,1228,False
DFFB,,chr1,3847267,3895429,1883,0.1546982727168155,0.1709766757122504,0.0950148221222199,0.0787364191267851,ENSG00000169598,0.3058615081698542,0.2951732614953998,0.3801174068916557,0.3908056535661102,478,False
DFFA,,chr1,10446522,10482549,1167,0.0737941604188315,0.0630777226056644,0.0815332907270307,0.0922497285401977,ENSG00000160049,0.4267246868737396,0.4972929573374921,0.2796815231258277,0.2091132526620752,178,False
CASP9,,chr1,15480832,15536534,1750,0.1938673816491974,0.1540756090802377,0.0230845760937323,0.062876348662692,ENSG00000132906,0.2944246761828484,0.2761708497682181,0.0701795028480914,0.0884333292627218,318,False
CDC42,,chr1,22042627,22111360,1830,0.0745327057249816,0.0631329794096289,0.0739825291227275,0.0853822554380802,ENSG00000070831,0.5715040008850969,0.5684971358972204,0.5713262831413409,0.5743331481292175,651,False
RPS6KA1,,chr1,26519756,26585030,1845,0.1309652044198342,0.0301068502365316,0.1240445011403247,0.2249028553236273,ENSG00000117676,0.4162894473451118,0.3814170546980076,0.5091940394854404,0.5440664321325446,327,False
JUN,,chr1,58766845,58794048,783,0.2702028318673612,0.2886817858182154,0.028395990243087,0.0099170362922328,ENSG00000177606,0.4133514356845576,0.4000694429558569,0.2323087563429425,0.2455907490716433,150,False
JAK1,,chr1,64823223,65077754,6895,0.0696617477975868,0.0592011586660764,0.0498119153040498,0.0602725044355602,ENSG00000162434,0.3170322113114991,0.320395803117945,0.1636395671976558,0.16027597539121,1409,False
GADD45A,,chr1,67675201,67698334,622,0.0723202990479929,0.0716650664225065,0.1001413259704,0.1007965585958864,ENSG00000116717,0.2914264859844662,0.268676618388346,0.4903435518729545,0.5130934194690746,149,False
PTGER3,,chr1,70842353,71057816,6140,0.0595454325839576,0.0425471211662261,0.0987646833902985,0.11576299480803,ENSG00000050628,0.326060146621864,0.293653583592052,0.3893602914567653,0.4217668544865772,1361,False
RAP1A,,chr1,111532218,111726691,5378,0.1083495727216836,0.1117052160998165,0.2587548769726846,0.2553992335945517,ENSG00000116473,0.299750409999516,0.2744718771658131,0.4714170426421166,0.4966955754758194,1218,False
NGF,,chr1,115275904,115348770,2129,0.1392131777753397,0.0995887821653498,0.164336575665693,0.2039609712756828,ENSG00000134259,0.3353379619577945,0.3908340156095297,0.3312138144205718,0.2757177607688366,448,False
PIAS3,,chr1,145838521,145869836,811,0.0908641489312972,0.0083385372245197,0.2192481011414072,0.3017737128481846,ENSG00000131788,,,,,0,False
MCL1,,chr1,150550895,150589738,1193,0.1033279343695791,0.0911618034034074,0.0290464434450411,0.0412125744112128,ENSG00000143384,0.2598579675677493,0.2731163917356188,0.2343041164796586,0.2210456923117892,164,False
IL6R,,chr1,154395193,154479450,2381,0.1346191513900313,0.1154996664556305,0.0562110819855127,0.0753305669199136,ENSG00000160712,0.3271502629301723,0.3187808669076405,0.2627039269997189,0.2710733230222505,456,False
NTRK1,,chr1,156805636,156891850,2524,0.1557615303529456,0.1347229435217449,0.1203274645211826,0.1413660513523834,ENSG00000198400,0.3435182930493244,0.4196401609437536,0.3285974172613631,0.2524755493669338,551,False
USF1,,chr1,161029249,161055977,742,0.233047751821622,0.3012262141709847,0.0655828475533784,-0.0025956147959843,ENSG00000158773,0.2709309062504773,0.4018077538108892,0.2682964768839082,0.1374196293234963,109,False
FASLG,,chr1,172649102,172676876,758,0.0740310104571948,-0.0398516713893208,0.3515140511686583,0.465396733015174,ENSG00000117560,0.4558771973747141,0.415640868358982,0.8047524780966238,0.8449888071123557,173,False
PTGS2,,chr1,186661791,186690922,831,0.1211035174453665,0.1278576404839352,0.0788613783928994,0.0721072553543307,ENSG00000073756,0.0995121286088286,0.1671456610667152,0.3303966892444377,0.2627631567865511,202,False
IL10,,chr1,206757602,206784541,731,-0.0162754774800023,0.0387935378601094,0.1710015581407255,0.1159325428006137,ENSG00000136634,0.2545406390101802,0.3306190287566372,0.517749696355241,0.441671306608784,148,False
IL1R1,,chr2,102053933,102189874,4189,0.175126875431446,0.1545522179320431,0.1864234571772188,0.2069981146766217,ENSG00000115594,0.2898884864187095,0.2763938533033764,0.320360230448767,0.3338548635641,957,False
IL1A,,chr2,112763925,112794493,787,0.0989901961591703,0.1116526425866156,0.228265565204108,0.2156031187766627,ENSG00000115008,0.2131645300395762,0.1668839066807197,0.0445850413880568,0.0908656647469133,180,False
ATF2,,chr2,175062250,175178382,3061,0.2010601905237496,0.1905657184705274,0.2309072773334788,0.241401749386701,ENSG00000115966,0.4559459240138412,0.4189387787021833,1.1948923424057636,1.2318994877174214,645,False
