gene_name,pbs1_african_pctile,pbs2_african_pctile,pbs3_melanesian_pctile,pbs4_melanesian_pctile
KITLG,97.22631042680855,98.22277563957437,98.62447639533568,98.2284355897668
ATF2,89.57319144118647,83.43332578673308,98.54522812181592,98.90762961285941
HIF1A,93.7563681648364,92.7156441023319,97.73576361372128,97.77563957437175
PRKACA,8.479565266613834,21.08897441702513,96.91497792369523,96.08897441702513
BAK1,77.9350164157138,72.56622141725153,95.9130533227669,96.20783337106633
CREB1,96.51873655609646,94.43060901064071,95.76021736669308,96.34367217568486
FZD3,95.95833805049247,91.62893366538374,93.26389675082079,94.67964681910799
ADCY4,67.083663534473,76.89608331446684,93.16200611343824,92.17228888385782
FASLG,89.56753085022076,82.93525016979851,92.64123174459414,93.81367443966494
CDKN1A,6.645533793728065,27.699796241793074,92.48273519755462,89.62531129726058
MAP4K2,91.9959243745047,76.98664251754585,91.2770293218612,94.03441249717002
MAPK3,35.429638854296385,19.832465474303827,90.49586776859505,92.14964908308806
TYRP1,7.907845579078455,20.879556259904913,86.6296841390241,83.0824088748019
MITF,58.343711083437114,85.06905139234775,85.78625608513529,78.073352954494
BAD,88.45239442997848,97.88317862802808,85.70700781161553,71.6606293864614
PTGER1,18.334654137891995,25.43015621462531,85.54851126457602,84.1917591125198
RHOA,94.70168685610778,90.81390083767263,85.25416053435978,87.69526828163912
PTGER2,91.32797464055247,95.34186099162328,84.14468470508321,79.34684174779262
MAP3K1,81.02569908298426,92.29114783789903,82.87671232876713,75.0452796015395
CDC42,96.79044492244991,96.30405252433779,82.46914977923696,82.89563051845144
CASP3,87.68821464960942,90.79126103690288,82.28801086833465,79.74869821145573
BBC3,58.16823276350051,79.08082408874802,82.0163025019812,75.7527733755943
F10,69.58564474131099,80.44487208512565,81.59741877051964,77.67715644102331
BID,60.14943960149439,44.736246321032375,80.92380844560172,83.58048449173647
EDN1,28.823729197328202,43.59859633235227,80.7822936714593,77.4677382839031
STAT3,33.691837427827465,25.220738057505095,79.90490207177629,81.90513923477474
TP53,19.132797464055248,55.761829295902196,78.8237291973282,67.42698664251755
IL10,35.01075512283482,61.953814806429705,78.3086154194498,70.84559655875029
RPS6KA1,84.42771425336805,76.2282091917591,77.56141741197781,80.7618292959022
BAX,80.0860409826786,80.97124745302241,76.56515340201517,76.05275073579352
EDNRB,69.42148760330579,82.96920987095314,76.19721498924488,69.01743264659271
GADD45A,49.37733499377335,39.44419289110256,75.72738593909204,78.32805071315373
RAP1A,52.74538661836296,41.583654063844236,73.71787614626967,76.91872311523659
PRKCZ,83.43711083437111,72.37378311070863,73.01030227555756,77.90355444872085
PPP3CA,47.837654251103814,46.59270998415214,72.56877618023321,73.05297713380122
PRKG1,53.62843880901166,57.62961285940684,70.36114570361146,68.76839483812543
CASP8,29.60489075059436,34.23137876386688,68.99128268991282,67.56282544713606
MAPK14,82.65594928110495,59.02196060674666,67.68934676780256,77.74507584333257
F7,89.65243971470622,91.17613764998868,67.2534812634439,64.46117274167987
CSF2,5.4624702818974304,23.70387140593163,66.38741084569229,52.90921439891329
EGFR,64.20242273293331,61.23500113199004,65.90060002264237,67.2288883857822
PRKCB,74.94622438582589,72.84921892687345,65.6571946111174,66.53837446230473
KIT,30.669081852145364,35.363368802354536,64.75716064757161,63.53860086031243
SRC,0.6453073700894373,0.48109576635725604,64.00430204913393,66.58365406384424
IL6,78.09917355371901,64.036676477247,63.874108456922905,70.83427665836541
SPTLC2,80.04075625495302,72.31152365859181,63.83448432016303,68.36653837446231
PTGER3,62.091022302728405,48.95856916459135,62.90614740178874,68.28163912157574
F2RL1,65.08547492358203,39.036676477247,62.35707007811615,72.15870500339597
DFFB,55.04358655043587,49.4679646819108,61.55326616098721,64.13855558071089
IL12A,50.101890637382546,42.01947022866199,61.54760557002151,65.09508716323296
RAC1,49.898109362617454,28.565768621236135,59.7871617796898,68.47407742811863
GUCY1A2,54.05298313143892,65.36110482227757,58.796558360692856,53.429929816617616
OCA2,67.37801426468923,52.24134027620557,56.27759538095777,63.47068145800317
MAP2K1,67.12894826219858,70.04754358161648,56.039850560398506,54.318541996830426
STAT1,23.146156458734293,45.13244283450306,55.46813087286313,44.58342766583654
PDPK1,0.005660590965696819,0.10753905365632782,55.185101324578284,52.586597237944304
ICAM1,76.1406090795879,61.77269640027168,54.90773236725914,62.83676703645008
PMAIP1,49.48488622212159,19.98528412949966,54.8001811389109,68.15712021734208
NOS2,76.157590852485,70.30790129046865,53.78127476508548,57.22209644555128
NGF,65.20434733386166,78.38465021507811,53.64542058190875,44.034412497170024
PTGS2,3.1303068040303406,11.09350237717908,53.49824521680063,41.527054561919854
EZR,44.61111740065663,70.37016074258547,53.464281671006454,39.110255829748695
NTRK1,67.91577040643043,83.50690513923477,53.169930940790216,39.489472492642065
MMP1,97.53764292992189,90.93275979171383,53.13030680403034,71.67194928684627
MAP3K5,12.017434620174345,23.5227529997736,52.17366693082758,44.09667194928684
IL1R1,48.7546699875467,42.319447588861216,51.61892901618929,55.03735567127009
CDK2,8.462583493716744,22.079465700701835,49.926412317445944,38.51030110935024
PMEL,23.77448205592664,34.54833597464342,48.15464734518284,42.33076748924609
PRKCH,75.21227216121363,75.83767262848087,47.96784784331484,46.90400724473625
AKT1,34.46167779916223,74.49626443287299,47.690478885995695,24.456644781525924
RDX,56.74176384014491,63.374462304731715,47.31121929129401,43.406158025809376
RYR1,39.273180120004525,17.591125198098258,47.1527227442545,59.89359293638216
CDH2,41.72421600815125,37.40095087163233,47.124419789426014,49.78492189268734
MET,56.54930374731122,63.11410459587955,46.0941922336692,42.27416798732171
DUSP1,40.65436431563455,45.766357256056146,44.01675534925846,41.78175232057958
DFFA,85.97871617796898,92.38736699117048,43.9544888486358,30.78446909667195
BCL2,49.699988678818066,57.17115689381934,42.58462583493717,38.46502150781073
MAP2K2,84.17864825087739,93.68349558523884,42.126117966715725,22.939778129952458
USF1,41.03362391033624,80.48449173647272,41.74685837201404,17.330767489246096
CFLAR,4.992641231744594,11.319900384876613,41.74119778104834,33.81820239981888
MC1R,62.86086267406317,51.250848992528866,40.926072681987996,47.362463210323746
IL6R,62.453300124533,57.78243151460267,40.59775840597759,43.1288204663799
TPSAB1,2.937846711196649,2.13946117274168,40.292086493829956,44.43626896083315
CYCS,41.933657873882034,35.67466606293865,39.499603758632404,43.22503961965135
PRKCD,89.59017321408355,94.8720851256509,37.467451601947246,22.15870500339597
MAP2K6,47.65085474923582,55.34299298166176,36.45986641005321,32.57301335748245
FAS,86.77685950413223,86.9085352048902,35.90512849541492,34.76341408195608
SMPD2,12.894826219857354,27.569617387366993,35.0503792595947,24.886800996151234
MCL1,36.94101664213744,41.0459587955626,34.6881014377901,33.13334842653385
JUN,83.90127929355825,80.15621462531129,34.28053888825993,38.03486529318542
FOS,77.87841050605684,84.68417477926194,32.53707687082532,24.63210323749151
PAX3,49.1112872183856,32.380575050939555,30.58417298765991,40.049807561693456
CDK4,26.49156571946111,41.498754810957664,30.14264689233556,22.407742811863255
SPTLC1,9.58904109589041,7.929590219606068,28.852032152156685,32.39189495132443
NFKB1,68.07426695346994,66.36857595653159,28.20106419110155,29.10912383971021
CTNNB1,17.63840144911129,22.22662440570523,27.765198686742895,25.118858954041205
RAF1,76.3160873995245,57.035318089200814,25.365108117287445,37.49717002490378
MAP2K4,66.38741084569229,61.90287525469776,23.961281557794635,26.250848992528866
GAB1,25.17830861541945,17.80620330541091,23.68391260047549,29.329861897215306
DCT,86.78252009509792,87.45755037355671,21.95743235593796,19.928684627575276
MAP2K7,24.00090569455451,17.194928684627577,21.464960941922335,26.731944758886122
JAK1,59.00033963545794,58.37106633461625,21.33476734971131,21.343672175684855
HRAS,0.7132344616777991,0.8999320805976907,21.193252575568888,20.002263980076975
MLANA,52.53028416166648,58.28616708172968,21.1706102117061,18.01562146253113
TNF,26.661383448432016,28.07901290468644,20.85361711762708,20.273941589314013
WNT5A,54.91339295822484,23.239755490151687,19.94792256311559,36.97645460719946
GSK3B,38.752405751160424,47.45302241340276,19.868674289595834,16.01199909440797
SMPD1,8.304086946677232,6.073126556486303,19.393184648477302,23.369934344577768
TNFRSF1A,8.853164270349824,6.639121575730133,18.821464960941924,22.475662214172516
MAPK8,83.49937733499377,78.92234548335975,16.766670440393977,20.347520941815713
CCND1,12.696705536057964,23.720851256508944,16.308162572172535,10.318089200815033
MAP2K3,36.04098267859165,30.388272583201267,13.619381863466545,16.125198098256735
SOX10,93.37144797916902,87.62168892913742,11.97214989244877,20.568258999320808
TFAP2A,69.86867428959583,46.85872764319674,11.219291294011095,21.439891328956307
TYR,52.95482848409374,48.392574145347524,10.324917921430997,11.69911704776998
PIK3CA,18.979961507981432,18.134480416572334,9.900373599003736,10.725605614670592
PAK1,39.74866976112306,40.84220058863482,9.27204800181139,9.19175911251981
MAPK1,31.150232084229593,31.973058637083994,8.728631269104495,8.829522300203758
CASP9,50.45284727725574,42.234548335974644,7.262538208989018,10.153950645234321
BCL2L1,34.61451375523605,12.327371519130631,7.092720480018114,18.94951324428345
PTGER4,26.395335673044265,29.075164138555582,5.3832220083776745,4.918496717228888
IL1A,21.272500849088644,11.031242925062259,4.862447639533567,10.39166855331673
HGF,93.88090116608174,91.24405705229793,4.71527227442545,7.748471813448042
